,State,County,Tract,Block_group,state,county,tract,block group,GEOID,population,white_only,black_only,aian_alone,asian_only,nhopi_alone,hispanic,below_poverty,no_health_ins,one_health_ins,two_health_ins,racial_majority
1,01,001,020100,1,01,001,020100,1,10010201001,674,82.64,4.15,0.0,0.0,0.0,3.56,14.99,20.18,67.21,12.61,1
2,01,001,020100,2,01,001,020100,2,10010201002,1267,74.74,16.34,0.0,3.24,0.0,0.71,12.94,4.03,73.8,22.18,1
3,01,001,020200,1,01,001,020200,1,10010202001,706,33.71,56.8,0.0,0.0,0.0,4.25,31.1,4.53,78.61,15.16,2
4,01,001,020200,2,01,001,020200,2,10010202002,1051,38.34,59.47,0.0,0.0,0.0,0.0,5.72,5.61,59.66,14.56,2
5,01,001,020300,1,01,001,020300,1,10010203001,2912,64.97,25.62,0.0,1.51,0.0,6.18,8.21,3.78,75.58,20.64,1
6,01,001,020300,2,01,001,020300,2,10010203002,782,60.23,37.85,0.0,0.0,0.0,0.0,37.6,2.17,63.55,31.59,1
7,01,001,020400,1,01,001,020400,1,10010204001,720,97.64,0.0,0.0,1.25,0.0,0.0,14.72,6.25,66.67,27.08,1
8,01,001,020400,2,01,001,020400,2,10010204002,1713,86.51,9.46,0.58,0.47,0.0,0.99,8.06,1.11,67.31,31.58,1
9,01,001,020400,3,01,001,020400,3,10010204003,707,79.21,20.79,0.0,0.0,0.0,0.0,0.71,4.53,68.03,26.03,1
10,01,001,020400,4,01,001,020400,4,10010204004,399,85.21,0.0,0.0,0.0,0.0,0.0,8.02,18.3,70.18,11.53,1
11,01,001,020501,1,01,001,020501,1,10010205011,2006,78.02,17.25,0.0,3.99,0.0,0.0,22.63,2.14,70.09,24.18,1
12,01,001,020501,2,01,001,020501,2,10010205012,2300,84.87,13.57,0.0,0.0,0.0,1.57,15.13,4.0,80.83,15.17,1
13,01,001,020502,1,01,001,020502,1,10010205021,1951,76.37,11.89,0.0,6.3,0.0,3.79,1.64,0.0,68.79,16.5,1
14,01,001,020502,2,01,001,020502,2,10010205022,1149,58.05,0.0,0.0,13.49,0.0,25.67,9.23,0.0,85.03,14.27,1
15,01,001,020503,1,01,001,020503,1,10010205031,891,48.48,51.52,0.0,0.0,0.0,0.0,24.1,15.04,70.93,8.08,2
16,01,001,020503,2,01,001,020503,2,10010205032,885,76.84,21.13,0.0,2.03,0.0,0.0,4.95,3.62,38.64,38.08,1
17,01,001,020503,3,01,001,020503,3,10010205033,1492,86.13,0.87,0.0,0.0,0.0,0.0,4.96,0.0,75.87,21.85,1
18,01,001,020600,1,01,001,020600,1,10010206001,1052,69.2,23.95,0.0,0.0,0.0,0.0,41.87,13.97,62.55,23.48,1
19,01,001,020600,2,01,001,020600,2,10010206002,644,67.24,30.43,0.0,0.0,0.0,2.33,18.32,13.51,58.39,28.11,1
20,01,001,020600,3,01,001,020600,3,10010206003,1840,75.54,14.57,0.0,0.6,0.0,9.29,15.11,9.84,71.2,16.79,1
21,01,001,020700,1,01,001,020700,1,10010207001,1580,80.89,11.46,0.0,0.0,0.0,7.66,15.66,11.27,72.22,15.57,1
22,01,001,020700,2,01,001,020700,2,10010207002,1222,75.2,13.91,1.88,0.0,0.0,2.54,58.14,19.97,59.74,20.29,1
23,01,001,020700,3,01,001,020700,3,10010207003,760,46.84,48.68,1.18,0.0,0.0,2.37,14.87,2.89,70.79,26.32,7
24,01,001,020801,1,01,001,020801,1,10010208011,694,72.91,27.09,0.0,0.0,0.0,0.0,6.77,11.1,69.45,19.45,1
25,01,001,020801,2,01,001,020801,2,10010208012,1022,98.04,0.0,0.0,0.0,0.0,1.96,0.0,3.33,75.34,20.84,1
26,01,001,020801,3,01,001,020801,3,10010208013,1357,89.46,9.43,0.0,0.0,0.0,1.11,11.5,6.41,80.84,12.23,1
27,01,001,020803,1,01,001,020803,1,10010208031,811,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58,69.67,24.17,1
28,01,001,020803,2,01,001,020803,2,10010208032,1182,73.27,26.73,0.0,0.0,0.0,0.0,48.82,35.36,61.08,3.55,1
29,01,001,020803,3,01,001,020803,3,10010208033,1248,64.74,23.32,0.0,0.0,0.0,11.94,6.89,5.77,67.55,26.68,1
30,01,001,020803,4,01,001,020803,4,10010208034,1109,56.63,32.28,0.0,8.48,0.0,0.0,21.55,0.0,87.02,12.98,1
31,01,001,020804,1,01,001,020804,1,10010208041,1491,74.58,7.04,0.0,0.0,0.0,12.94,13.28,12.47,85.45,2.08,1
32,01,001,020804,2,01,001,020804,2,10010208042,3069,84.88,12.02,0.0,1.4,0.0,0.52,4.63,5.15,66.83,24.8,1
33,01,001,020805,1,01,001,020805,1,10010208051,1072,77.05,22.95,0.0,0.0,0.0,0.0,0.0,4.76,95.24,0.0,1
34,01,001,020805,2,01,001,020805,2,10010208052,1233,99.11,0.0,0.0,0.89,0.0,0.0,4.87,8.35,75.59,14.76,1
35,01,001,020901,1,01,001,020901,1,10010209011,1974,83.13,11.85,0.0,0.0,0.0,5.02,14.94,6.53,78.32,15.15,1
36,01,001,020901,2,01,001,020901,2,10010209012,1687,75.46,24.54,0.0,0.0,0.0,0.0,2.73,3.08,81.51,15.41,1
37,01,001,020902,1,01,001,020902,1,10010209021,1167,79.78,14.74,0.0,0.0,0.0,0.0,16.45,12.6,61.18,26.22,1
38,01,001,020902,2,01,001,020902,2,10010209022,1419,82.66,0.92,5.43,0.0,0.0,1.13,1.62,3.74,64.2,32.06,1
39,01,001,021000,1,01,001,021000,1,10010210001,478,72.8,27.2,0.0,0.0,0.0,0.0,7.32,3.97,76.78,19.25,1
40,01,001,021000,2,01,001,021000,2,10010210002,1105,73.94,25.43,0.0,0.0,0.0,0.18,29.77,19.64,70.86,9.5,1
41,01,001,021000,3,01,001,021000,3,10010210003,1321,83.12,8.93,0.0,0.0,0.0,2.35,30.58,21.35,68.58,10.07,1
42,01,001,021100,1,01,001,021100,1,10010211001,557,35.73,62.12,0.0,2.15,0.0,0.0,15.98,3.77,77.2,19.03,2
43,01,001,021100,2,01,001,021100,2,10010211002,775,70.19,23.74,4.65,0.0,0.0,0.0,11.35,5.55,53.29,41.16,1
44,01,001,021100,3,01,001,021100,3,10010211003,1133,31.33,65.23,0.0,0.0,0.0,3.44,50.13,20.65,63.2,16.15,2
45,01,001,021100,4,01,001,021100,4,10010211004,1032,40.02,59.98,0.0,0.0,0.0,0.0,32.56,19.28,57.17,23.55,2
46,01,003,010100,1,01,003,010100,1,10030101001,418,63.64,36.36,0.0,0.0,0.0,0.0,14.83,1.44,54.31,44.26,1
47,01,003,010100,2,01,003,010100,2,10030101002,1533,69.34,29.29,0.0,0.0,0.0,0.0,10.18,6.52,79.58,13.89,1
48,01,003,010100,3,01,003,010100,3,10030101003,1315,80.91,7.0,12.09,0.0,0.0,0.0,13.36,1.75,65.48,30.65,1
49,01,003,010200,1,01,003,010200,1,10030102001,1127,79.24,17.92,2.84,0.0,0.0,0.0,13.49,7.81,65.39,26.8,1
50,01,003,010200,2,01,003,010200,2,10030102002,1789,90.83,0.5,2.68,1.12,0.0,0.0,19.28,7.32,84.96,7.71,1
51,01,003,010300,1,01,003,010300,1,10030103001,1221,35.22,22.77,9.83,0.0,0.0,0.0,2.38,32.19,53.97,13.84,7
52,01,003,010300,2,01,003,010300,2,10030103002,2487,90.15,2.41,3.34,0.0,0.0,3.34,14.07,3.58,82.19,14.23,1
53,01,003,010300,3,01,003,010300,3,10030103003,1932,72.1,24.12,0.0,0.0,0.0,3.78,3.83,4.45,87.68,7.87,1
54,01,003,010300,4,01,003,010300,4,10030103004,675,100.0,0.0,0.0,0.0,0.0,0.0,12.44,10.96,59.11,29.93,1
55,01,003,010300,5,01,003,010300,5,10030103005,2312,80.71,15.83,1.08,0.0,0.0,0.69,4.64,11.59,62.15,19.64,1
56,01,003,010400,1,01,003,010400,1,10030104001,1089,96.42,0.0,1.01,0.0,0.0,0.0,8.26,11.02,66.76,22.22,1
57,01,003,010400,2,01,003,010400,2,10030104002,1366,91.95,0.0,0.0,0.0,0.73,5.12,1.98,6.73,39.09,54.17,1
58,01,003,010400,3,01,003,010400,3,10030104003,2767,77.2,17.06,1.34,0.61,0.0,0.0,10.97,7.3,80.95,11.75,1
59,01,003,010500,1,01,003,010500,1,10030105001,1331,80.84,14.5,0.0,0.0,0.0,1.95,24.58,13.52,30.05,14.5,1
60,01,003,010500,2,01,003,010500,2,10030105002,995,95.48,2.11,0.0,0.6,0.0,0.0,9.89,3.02,65.53,23.92,1
61,01,003,010500,3,01,003,010500,3,10030105003,2049,98.58,0.63,0.78,0.0,0.0,0.0,4.34,1.66,84.92,13.42,1
62,01,003,010500,4,01,003,010500,4,10030105004,1514,64.4,35.6,0.0,0.0,0.0,0.0,5.94,7.2,78.47,14.33,1
63,01,003,010600,1,01,003,010600,1,10030106001,1923,16.95,77.95,0.0,0.0,0.0,4.0,40.09,14.72,78.0,7.28,2
64,01,003,010600,2,01,003,010600,2,10030106002,879,14.79,83.05,2.16,0.0,0.0,0.0,27.42,33.67,59.16,7.17,2
65,01,003,010600,3,01,003,010600,3,10030106003,1313,71.9,7.62,0.0,0.0,0.0,17.36,9.12,31.61,51.49,16.91,1
66,01,003,010704,1,01,003,010704,1,10030107041,2668,98.99,0.34,0.0,0.67,0.0,0.0,5.43,9.97,66.49,23.54,1
67,01,003,010704,2,01,003,010704,2,10030107042,3438,72.25,21.73,0.0,0.73,0.0,1.45,14.37,2.01,81.33,16.67,1
68,01,003,010706,1,01,003,010706,1,10030107061,1267,98.42,0.0,0.0,0.0,0.0,1.58,7.02,14.52,77.19,8.29,1
69,01,003,010706,2,01,003,010706,2,10030107062,2278,70.11,15.94,0.0,5.79,0.0,3.12,3.18,6.19,68.44,24.19,1
70,01,003,010707,1,01,003,010707,1,10030107071,1450,61.24,0.76,0.0,1.45,0.0,5.93,8.94,2.62,71.86,22.83,1
71,01,003,010707,2,01,003,010707,2,10030107072,2163,71.34,20.67,0.0,1.29,0.0,3.74,4.62,9.2,74.25,16.55,1
72,01,003,010707,3,01,003,010707,3,10030107073,1778,92.86,0.0,1.24,0.22,0.0,3.09,0.0,0.0,88.47,11.53,1
73,01,003,010708,1,01,003,010708,1,10030107081,1392,85.7,10.85,0.0,0.0,0.0,3.45,11.85,20.26,61.78,17.96,1
74,01,003,010708,2,01,003,010708,2,10030107082,3657,89.17,2.46,0.0,1.04,0.0,4.21,2.87,1.12,94.56,3.39,1
75,01,003,010708,3,01,003,010708,3,10030107083,2590,62.12,16.41,0.0,3.78,0.0,6.06,7.32,6.18,71.81,18.46,1
76,01,003,010708,4,01,003,010708,4,10030107084,2608,75.15,10.12,0.0,1.84,0.0,12.31,1.8,12.5,70.86,16.64,1
77,01,003,010709,1,01,003,010709,1,10030107091,4470,98.61,0.89,0.0,0.0,0.0,0.0,3.74,4.47,82.89,12.01,1
78,01,003,010709,2,01,003,010709,2,10030107092,2339,64.39,35.61,0.0,0.0,0.0,0.0,1.6,16.2,75.89,7.91,1
79,01,003,010709,3,01,003,010709,3,10030107093,4684,88.94,0.96,0.0,0.0,0.0,7.75,0.83,4.82,88.17,6.68,1
80,01,003,010710,1,01,003,010710,1,10030107101,1466,68.69,13.71,0.0,0.0,0.0,11.94,15.95,6.62,69.65,23.74,1
81,01,003,010710,2,01,003,010710,2,10030107102,2900,80.72,11.34,0.0,0.0,0.0,7.93,0.0,2.52,75.52,20.45,1
82,01,003,010710,3,01,003,010710,3,10030107103,1062,75.61,24.39,0.0,0.0,0.0,0.0,11.49,5.93,75.14,18.93,1
83,01,003,010711,1,01,003,010711,1,10030107111,2262,60.39,22.68,0.0,0.31,0.0,4.69,10.12,1.19,72.15,26.66,1
84,01,003,010711,2,01,003,010711,2,10030107112,1764,91.38,2.61,0.0,1.42,0.0,1.59,6.8,3.12,63.72,33.16,1
85,01,003,010800,1,01,003,010800,1,10030108001,2497,46.14,45.9,0.0,1.88,0.0,2.64,23.96,6.29,78.05,14.58,7
86,01,003,010800,2,01,003,010800,2,10030108002,2300,81.48,10.04,0.0,5.17,0.0,0.0,2.81,0.91,73.57,21.61,1
87,01,003,010800,3,01,003,010800,3,10030108003,2984,66.99,24.43,0.0,2.88,0.0,3.85,5.36,2.98,67.66,24.97,1
88,01,003,010903,1,01,003,010903,1,10030109031,1719,50.49,45.78,3.49,0.0,0.0,0.0,2.12,6.11,66.55,27.34,1
89,01,003,010903,2,01,003,010903,2,10030109032,2718,79.95,12.84,0.7,0.0,0.0,1.36,10.63,11.77,78.0,10.23,1
90,01,003,010903,3,01,003,010903,3,10030109033,2230,76.64,20.0,2.29,0.0,0.0,0.0,9.68,5.56,55.7,9.64,1
91,01,003,010904,1,01,003,010904,1,10030109041,1965,97.2,0.0,0.0,0.0,0.0,1.42,6.56,3.72,77.4,18.88,1
92,01,003,010904,2,01,003,010904,2,10030109042,1877,91.74,1.86,2.82,0.0,0.0,1.17,14.65,4.0,72.19,23.81,1
93,01,003,010904,3,01,003,010904,3,10030109043,2370,81.65,5.06,0.0,0.0,0.0,13.29,8.21,14.39,66.12,18.19,1
94,01,003,010906,1,01,003,010906,1,10030109061,2774,77.11,1.51,0.0,0.0,0.0,19.21,15.55,22.49,48.02,29.49,1
95,01,003,010906,2,01,003,010906,2,10030109062,1662,90.79,5.23,0.0,0.0,0.0,2.29,7.22,13.3,53.19,25.21,1
96,01,003,010906,3,01,003,010906,3,10030109063,901,86.13,0.0,6.1,0.0,0.0,7.77,15.65,13.43,71.14,15.43,1
97,01,003,010907,1,01,003,010907,1,10030109071,1777,83.62,3.04,0.62,0.0,0.0,9.12,17.22,16.21,59.93,23.86,1
98,01,003,010907,2,01,003,010907,2,10030109072,2340,95.47,0.0,0.0,0.0,0.0,3.29,0.09,1.32,90.38,8.12,1
99,01,003,010908,1,01,003,010908,1,10030109081,1539,93.63,6.11,0.0,0.0,0.0,0.13,7.16,2.66,82.85,14.42,1
100,01,003,010908,2,01,003,010908,2,10030109082,2870,90.56,0.03,0.0,0.0,0.0,8.89,22.15,8.08,77.18,14.46,1
101,01,003,011000,1,01,003,011000,1,10030110001,1782,90.63,5.61,0.0,0.0,0.0,3.2,3.73,11.56,61.28,27.16,1
102,01,003,011000,2,01,003,011000,2,10030110002,3139,65.69,0.25,0.0,0.0,0.0,32.88,18.06,20.87,64.61,14.53,1
103,01,003,011102,1,01,003,011102,1,10030111021,2670,93.18,2.02,0.26,0.0,0.0,2.36,3.33,7.12,72.73,20.15,1
104,01,003,011102,2,01,003,011102,2,10030111022,2561,76.88,16.28,0.0,0.0,0.0,6.4,7.5,1.25,79.15,19.6,1
105,01,003,011103,1,01,003,011103,1,10030111031,4263,79.73,4.81,0.35,5.61,0.0,9.5,10.92,3.54,85.01,10.37,1
106,01,003,011104,1,01,003,011104,1,10030111041,1622,77.19,7.58,0.0,0.0,0.0,15.23,17.44,8.82,68.0,23.18,1
107,01,003,011104,2,01,003,011104,2,10030111042,2708,92.76,5.58,0.0,0.0,0.0,1.66,6.31,2.55,70.97,26.0,1
108,01,003,011104,3,01,003,011104,3,10030111043,3229,78.48,1.42,0.0,1.11,0.0,16.54,1.17,6.13,76.34,17.53,1
109,01,003,011201,1,01,003,011201,1,10030112011,2612,85.3,0.0,0.0,13.97,0.0,0.0,3.25,0.0,74.2,25.8,1
110,01,003,011201,2,01,003,011201,2,10030112012,1736,99.77,0.12,0.0,0.0,0.0,0.12,5.53,0.4,59.79,38.71,1
111,01,003,011202,1,01,003,011202,1,10030112021,1563,62.25,37.75,0.0,0.0,0.0,0.0,2.88,7.36,77.54,15.1,1
