X,Y,FID,CalcLocati,CalcLoca_1,CalcLoca_2,Name,Address,City,State,Zip,formated_p,Status,Icon,Type_,ObjectId
-78.8582,42.753,601,"42.75298900,-78.85823700",-78.858237,42.752989,DaVita Southtowns Dialysis,"4910 CAMP ROAD, SUITE 100",HAMBURG,NY,14075,Please call patient admission line,open,small_green,Dialysis Center,1
-73.7937,40.761,602,"40.76099100,-73.79371300",-73.793713,40.760991,THE ROGOSIN INSTITUTE AUBURNDALE DIALYSIS,39-20 UTOPIA PARKWAY,FLUSHING,NY,11358,Please call patient admission line,open,small_green,Dialysis Center,2
-78.8297,43.0607,603,"43.06068400,-78.82970500",-78.829705,43.060684,FRESENIUS KIDNEY CARE - WHEATFIELD,3909 FOREST PARKWAY,NORTH TONAWANDA,NY,14120,Please call patient admission line,open,small_green,Dialysis Center,3
-79.0496,43.0939,604,"43.09394500,-79.04962500",-79.049625,43.093945,DaVita Niagara Falls Kidney Center,621 10TH STREET,NIAGARA FALLS,NY,14301,Please call patient admission line,open,small_green,Dialysis Center,4
-73.9763,40.7395,605,"40.73954000,-73.97633300",-73.976333,40.73954,"River Renal Services, LLC",462 FIRST AVENUE - HOSP BLDG 5 NORTH,NEW YORK,NY,10016,Please call patient admission line,open,small_green,Dialysis Center,5
-73.8517,42.6993,606,"42.69929700,-73.85174500",-73.851745,42.699297,"DIALYSIS CLINIC, INC.",176 WASHINGTON AVE EXTENSION,ALBANY,NY,12203,Please call patient admission line,open,small_green,Dialysis Center,6
-78.8502,43.0001,607,"43.00007100,-78.85023800",-78.850238,43.000071,US RENAL CARE TONAWANDA DIALYSIS,3161 EGGERT ROAD,TONAWANDA,NY,14150,Please call patient admission line,open,small_green,Dialysis Center,7
-78.7519,42.8909,608,"42.89085300,-78.75193800",-78.751938,42.890853,US RENAL CARE CHEEKTOWAGA DIALYSIS,"2875 UNION ROAD, SUITE 13 C/D",CHEEKTOWAGA,NY,14227,Please call patient admission line,open,small_green,Dialysis Center,8
-73.8877,41.5314,609,"41.53144700,-73.88771000",-73.88771,41.531447,FISHKILL DIALYSIS CENTER,60 MERRITT BLVD SUITE 103,FISHKILL,NY,12524,Please call patient admission line,open,small_green,Dialysis Center,9
-75.9177,42.1011,610,"42.10107300,-75.91771900",-75.917719,42.101073,BRIDGEWATER CENTER FOR DIALYSIS,159 FRONT STREET,BINGHAMTON,NY,13905,Please call patient admission line,open,small_green,Dialysis Center,10
-74.1533,41.1162,611,"41.11621000,-74.15333000",-74.15333,41.11621,"FREEDOM CENTER OF ROCKLAND COUNTY, LLC",30 ROUTE 59,MONTEBELLO,NY,10901,Please call patient admission line,open,small_green,Dialysis Center,11
-73.9596,40.6786,612,"40.67855900,-73.95961600",-73.959616,40.678559,BROOKLYN DIALYSIS CENTER LLC,915 DEAN STREET,BROOKLYN,NY,11238,Please call patient admission line,open,small_green,Dialysis Center,12
-74.1839,42.9609,613,"42.96086100,-74.18385400",-74.183854,42.960861,"MOHAWK VALLEY DIALYSIS CENTER, INC.",115 TOWNE SQUARE DRIVE,AMSTERDAM,NY,12010,Please call patient admission line,open,small_green,Dialysis Center,13
-73.8374,40.8745,614,"40.87451100,-73.83736000",-73.83736,40.874511,Workmen's Circle Dialysis Center,3155 Grace Avenue,BRONX,NY,10469,Please call patient admission line,open,small_green,Dialysis Center,14
-74.0314,41.1484,615,"41.14838800,-74.03142400",-74.031424,41.148388,FRIEDWALD CENTER FOR DIALYSIS,475 NEW HEMPSTEAD ROAD,NEW CITY,NY,10956,Please call patient admission line,open,small_green,Dialysis Center,15
-77.1113,43.0501,616,"43.05007400,-77.11128700",-77.111287,43.050074,Fresenius Kidney Care - Newark,305 WEST SHORE BOULEVARD,NEWARK,NY,14513,Please call patient admission line,open,small_green,Dialysis Center,16
-77.4399,43.2143,617,"43.21426300,-77.43986300",-77.439863,43.214263,FMS-SOUTHERN MANHATTAN DIALYSIS CENTER (Monroe County),1150 Crosspointe Lane Ste 4,WEBSTER,NY,14580,Please call patient admission line,open,small_green,Dialysis Center,17
-73.9686,40.7961,618,"40.79613800,-73.96861800",-73.968618,40.796138,AVANTUS UPPER MANHATTAN DIALYSIS CENTER,801 AMSTERDAM AVENUE,NEW YORK,NY,10025,Please call patient admission line,open,small_green,Dialysis Center,18
-73.8884,42.8167,619,"42.81666900,-73.88838700",-73.888387,42.816669,FMS-NISKAYUNA DIALYSIS CENTER,2345 NOTT STREET EAST,SCHENECTADY,NY,12309,Please call patient admission line,open,small_green,Dialysis Center,19
