iter	F1	Logloss
0	0.927107929	0.6605084121
1	0.927107929	0.6313329786
2	0.927107929	0.6055250498
3	0.927107929	0.5824428238
4	0.927107929	0.5617415712
5	0.927107929	0.5432822446
6	0.927107929	0.5268950884
7	0.927107929	0.5123342702
8	0.927107929	0.4995440596
9	0.927107929	0.487944419
10	0.927107929	0.4777250754
11	0.927107929	0.468424922
12	0.927107929	0.4600414765
13	0.927107929	0.452912502
14	0.927107929	0.446355829
15	0.927107929	0.4405160263
16	0.927107929	0.4351896805
17	0.927107929	0.430482882
18	0.927107929	0.4261717829
19	0.927107929	0.4225442588
20	0.927107929	0.4190123621
21	0.927107929	0.4159222397
22	0.927107929	0.413233546
23	0.927107929	0.41066772
24	0.927107929	0.4084330965
25	0.927107929	0.4062940743
26	0.927107929	0.4044487206
27	0.927107929	0.4026060463
28	0.927107929	0.4008684945
29	0.927107929	0.3991958941
30	0.927107929	0.3980899047
31	0.927107929	0.3968272401
32	0.927107929	0.3956453002
33	0.927107929	0.3945801391
34	0.927107929	0.3934761301
35	0.927107929	0.3925732549
36	0.927107929	0.3918303331
37	0.927107929	0.3911301236
38	0.927107929	0.3904283165
39	0.927107929	0.3896467123
40	0.927107929	0.3888042691
41	0.927107929	0.388205783
42	0.927107929	0.3875348546
43	0.927107929	0.3872927195
44	0.927107929	0.3868430066
45	0.927107929	0.3864813644
46	0.927107929	0.3859442553
47	0.927107929	0.3853420449
48	0.927107929	0.3849123961
49	0.927107929	0.3847928331
50	0.927107929	0.3844577275
