iter	Passed	Remaining
0	60	60876
1	61	30922
2	62	20871
3	63	15862
4	64	12927
5	66	10955
6	67	9522
7	68	8457
8	69	7615
9	70	6938
10	71	6404
11	72	5962
12	73	5572
13	74	5229
14	75	4936
15	76	4689
16	77	4461
17	78	4258
18	78	4076
19	79	3912
20	80	3767
21	81	3634
22	82	3512
23	83	3401
24	84	3300
25	85	3204
26	86	3119
27	87	3035
28	88	2963
29	89	2889
30	90	2818
31	91	2758
32	92	2701
33	93	2643
34	93	2590
35	94	2539
36	95	2491
37	96	2445
38	97	2407
39	98	2365
40	99	2324
41	100	2294
42	101	2259
43	102	2223
44	103	2191
45	104	2159
46	105	2130
47	105	2101
48	106	2073
49	107	2043
50	108	2017
